iter	RMSE
980	199991.9143
981	199969.8343
982	199920.3989
983	199877.9417
984	199805.928
985	199772.9648
986	199721.263
987	199634.0547
988	199565.3374
989	199550.1629
990	199463.3809
991	199410.9088
992	199356.8397
993	199296.1653
994	199254.0067
995	199225.0954
996	199182.2293
997	199136.9077
998	199066.5077
999	198988.2509
